Benchmarks	system.cpu.cpi
lab2Cache/401/L1iSize/128kB	1.724339
lab2Cache/401/L1dSize/64kB	1.690265
lab2Cache/401/L1dSize/128kB	1.653719
lab2Cache/401/L1iAssociativity/2	1.724253
lab2Cache/401/L1iAssociativity/4	1.724339
lab2Cache/401/L1dAssociativity/2	1.685033
lab2Cache/401/L1dAssociativity/4	1.671656
lab2Cache/401/L2Size/2MB	1.681579
lab2Cache/401/L2Size/4MB	1.663881
lab2Cache/401/L2Associativity/8	1.721877
lab2Cache/401/L2Associativity/16	1.721455
lab2Cache/401/cacheLine/128	1.728599
lab2Cache/401/cacheLine/256	1.763113
lab2Cache/429/L1iSize/128kB	1.176487
lab2Cache/429/L1dSize/64kB	1.146805
lab2Cache/429/L1dSize/128kB	1.145325
lab2Cache/429/L1iAssociativity/2	1.176487
lab2Cache/429/L1iAssociativity/4	1.176487
lab2Cache/429/L1dAssociativity/2	1.145404
lab2Cache/429/L1dAssociativity/4	1.144882
lab2Cache/429/L2Size/2MB	1.170595
lab2Cache/429/L2Size/4MB	1.170265
lab2Cache/429/L2Associativity/8	1.176050
lab2Cache/429/L2Associativity/16	1.175847
lab2Cache/429/cacheLine/128	1.157585
lab2Cache/429/cacheLine/256	1.216329
lab2Cache/456/L1iSize/128kB	1.232930
lab2Cache/456/L1dSize/64kB	1.209540
lab2Cache/456/L1dSize/128kB	1.190016
lab2Cache/456/L1iAssociativity/2	1.232142
lab2Cache/456/L1iAssociativity/4	1.232142
lab2Cache/456/L1dAssociativity/2	1.189414
lab2Cache/456/L1dAssociativity/4	1.186575
lab2Cache/456/L2Size/2MB	1.232977
lab2Cache/456/L2Size/4MB	1.232977
lab2Cache/456/L2Associativity/8	1.232977
lab2Cache/456/L2Associativity/16	1.232977
lab2Cache/456/cacheLine/128	1.240680
lab2Cache/456/cacheLine/256	1.283949
lab2Cache/458/L1iSize/128kB	7.061298
lab2Cache/458/L1dSize/64kB	7.060751
lab2Cache/458/L1dSize/128kB	7.060465
lab2Cache/458/L1iAssociativity/2	7.061317
lab2Cache/458/L1iAssociativity/4	7.061279
lab2Cache/458/L1dAssociativity/2	7.041252
lab2Cache/458/L1dAssociativity/4	7.041190
lab2Cache/458/L2Size/2MB	7.060163
lab2Cache/458/L2Size/4MB	7.058490
lab2Cache/458/L2Associativity/8	7.060628
lab2Cache/458/L2Associativity/16	7.060527
lab2Cache/458/cacheLine/128	5.016252
lab2Cache/458/cacheLine/256	3.795417
lab2Cache/470/L1iSize/128kB	2.650305
lab2Cache/470/L1dSize/64kB	2.640463
lab2Cache/470/L1dSize/128kB	2.636105
lab2Cache/470/L1iAssociativity/2	2.650259
lab2Cache/470/L1iAssociativity/4	2.650259
lab2Cache/470/L1dAssociativity/2	2.625161
lab2Cache/470/L1dAssociativity/4	2.625161
lab2Cache/470/L2Size/2MB	2.647768
lab2Cache/470/L2Size/4MB	2.644969
lab2Cache/470/L2Associativity/8	2.647551
lab2Cache/470/L2Associativity/16	2.647473
lab2Cache/470/cacheLine/128	2.027674
lab2Cache/470/cacheLine/256	1.730401
